         83757 function calls (80757 primitive calls) in 0.412 seconds

   Ordered by: cumulative time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
    192/1    0.003    0.000    0.412    0.412 {built-in method builtins.exec}
        1    0.000    0.000    0.412    0.412 patch.py:1(<module>)
   222/11    0.004    0.000    0.411    0.037 <frozen importlib._bootstrap>:978(_find_and_load)
   222/11    0.002    0.000    0.411    0.037 <frozen importlib._bootstrap>:948(_find_and_load_unlocked)
   213/12    0.003    0.000    0.403    0.034 <frozen importlib._bootstrap>:663(_load_unlocked)
   180/12    0.002    0.000    0.402    0.033 <frozen importlib._bootstrap_external>:722(exec_module)
   299/12    0.001    0.000    0.399    0.033 <frozen importlib._bootstrap>:211(_call_with_frames_removed)
       12    0.001    0.000    0.270    0.022 __init__.py:1(<module>)
  958/179    0.004    0.000    0.257    0.001 <frozen importlib._bootstrap>:1009(_handle_fromlist)
   330/22    0.001    0.000    0.256    0.012 {built-in method builtins.__import__}
        1    0.000    0.000    0.229    0.229 __init__.py:106(<module>)
      180    0.005    0.000    0.101    0.001 <frozen importlib._bootstrap_external>:793(get_code)
      219    0.005    0.000    0.066    0.000 <frozen importlib._bootstrap>:882(_find_spec)
      179    0.002    0.000    0.058    0.000 <frozen importlib._bootstrap_external>:523(_compile_bytecode)
      201    0.001    0.000    0.056    0.000 <frozen importlib._bootstrap_external>:1272(find_spec)
      179    0.055    0.000    0.055    0.000 {built-in method marshal.loads}
      201    0.003    0.000    0.055    0.000 <frozen importlib._bootstrap_external>:1240(_get_spec)
  213/211    0.001    0.000    0.054    0.000 <frozen importlib._bootstrap>:576(module_from_spec)
      366    0.012    0.000    0.047    0.000 <frozen importlib._bootstrap_external>:1356(find_spec)
      145    0.001    0.000    0.044    0.000 re.py:271(_compile)
       35    0.000    0.000    0.042    0.001 re.py:232(compile)
       34    0.001    0.000    0.042    0.001 sre_compile.py:759(compile)
        1    0.000    0.000    0.039    0.039 __init__.py:91(<module>)
        2    0.000    0.000    0.037    0.019 __init__.py:45(<module>)
        1    0.000    0.000    0.036    0.036 __init__.py:7(<module>)
       15    0.000    0.000    0.034    0.002 <frozen importlib._bootstrap_external>:1040(create_module)
       15    0.029    0.002    0.033    0.002 {built-in method _imp.create_dynamic}
  410/407    0.016    0.000    0.030    0.000 {built-in method builtins.__build_class__}
        1    0.001    0.001    0.029    0.029 numeric.py:1(<module>)
        1    0.000    0.000    0.026    0.026 __init__.py:37(<module>)
        1    0.000    0.000    0.024    0.024 index_tricks.py:1(<module>)
      181    0.007    0.000    0.022    0.000 <frozen importlib._bootstrap_external>:914(get_data)
       34    0.000    0.000    0.020    0.001 sre_compile.py:598(_code)
       34    0.000    0.000    0.020    0.001 sre_parse.py:919(parse)
    73/34    0.001    0.000    0.019    0.001 sre_parse.py:417(_parse_sub)
   111/52    0.006    0.000    0.019    0.000 sre_parse.py:475(_parse)
        1    0.000    0.000    0.018    0.018 __init__.py:24(<module>)
     1978    0.007    0.000    0.018    0.000 <frozen importlib._bootstrap_external>:56(_path_join)
        1    0.000    0.000    0.018    0.018 sockets.py:3(<module>)
        7    0.000    0.000    0.017    0.002 enum.py:633(_convert)
        1    0.000    0.000    0.017    0.017 __init__.py:41(<module>)
        2    0.000    0.000    0.017    0.008 utils.py:1(<module>)
        1    0.000    0.000    0.016    0.016 socket.py:47(<module>)
      213    0.003    0.000    0.016    0.000 <frozen importlib._bootstrap>:504(_init_module_attrs)
        1    0.000    0.000    0.016    0.016 multiarray.py:7(<module>)
        1    0.000    0.000    0.015    0.015 encoderH.py:2(<module>)
      181    0.015    0.000    0.015    0.000 {method 'read' of '_io.FileIO' objects}
   182/34    0.004    0.000    0.015    0.000 sre_compile.py:71(_compile)
        1    0.000    0.000    0.014    0.014 tempfile.py:24(<module>)
        1    0.000    0.000    0.014    0.014 overrides.py:1(<module>)
      851    0.002    0.000    0.014    0.000 <frozen importlib._bootstrap_external>:74(_path_stat)
        1    0.000    0.000    0.013    0.013 __init__.py:15(<module>)
      851    0.012    0.000    0.012    0.000 {built-in method posix.stat}
        1    0.000    0.000    0.012    0.012 __init__.py:3(<module>)
        1    0.000    0.000    0.012    0.012 main.py:1(<module>)
        1    0.000    0.000    0.012    0.012 redis.py:1(<module>)
        1    0.000    0.000    0.012    0.012 _internal.py:6(<module>)
       91    0.000    0.000    0.011    0.000 enum.py:284(__call__)
      360    0.004    0.000    0.011    0.000 <frozen importlib._bootstrap_external>:271(cache_from_source)
        1    0.000    0.000    0.011    0.011 defmatrix.py:1(<module>)
       77    0.008    0.000    0.010    0.000 sre_compile.py:276(_optimize_charset)
        1    0.000    0.000    0.010    0.010 _add_newdocs.py:10(<module>)
        7    0.000    0.000    0.010    0.001 enum.py:389(_create_)
        1    0.000    0.000    0.010    0.010 __init__.py:97(<module>)
        2    0.000    0.000    0.010    0.005 decoder.py:2(<module>)
        1    0.000    0.000    0.010    0.010 pathlib.py:1(<module>)
        1    0.000    0.000    0.009    0.009 backend.py:1(<module>)
     1978    0.006    0.000    0.009    0.000 <frozen importlib._bootstrap_external>:58(<listcomp>)
        1    0.000    0.000    0.009    0.009 shutil.py:5(<module>)
        1    0.001    0.001    0.009    0.009 core.py:21(<module>)
        1    0.000    0.000    0.009    0.009 hashlib.py:54(<module>)
        1    0.000    0.000    0.009    0.009 portalocker.py:1(<module>)
      277    0.002    0.000    0.009    0.000 function_base.py:431(add_newdoc)
        1    0.000    0.000    0.009    0.009 __init__.py:2(<module>)
      375    0.001    0.000    0.008    0.000 <frozen importlib._bootstrap>:403(cached)
        1    0.000    0.000    0.008    0.008 ports.py:3(<module>)
        8    0.003    0.000    0.008    0.001 enum.py:135(__new__)
        2    0.000    0.000    0.008    0.004 function_base.py:1(<module>)
        1    0.000    0.000    0.008    0.008 traceback.py:1(<module>)
      195    0.001    0.000    0.008    0.000 <frozen importlib._bootstrap_external>:369(_get_cached)
        1    0.000    0.000    0.007    0.007 runner.py:1(<module>)
        1    0.000    0.000    0.007    0.007 parser.py:6(<module>)
      222    0.001    0.000    0.007    0.000 <frozen importlib._bootstrap>:147(__enter__)
        1    0.001    0.001    0.007    0.007 numerictypes.py:81(<module>)
        7    0.001    0.000    0.007    0.001 enum.py:654(<listcomp>)
        1    0.000    0.000    0.007    0.007 typing.py:19(<module>)
        1    0.000    0.000    0.007    0.007 linecache.py:6(<module>)
      269    0.001    0.000    0.006    0.000 <frozen importlib._bootstrap>:194(_lock_unlock_module)
        1    0.000    0.000    0.006    0.006 signals.py:1(<module>)
       12    0.004    0.000    0.006    0.001 __init__.py:316(namedtuple)
      491    0.004    0.000    0.006    0.000 <frozen importlib._bootstrap>:157(_get_module_lock)
        1    0.000    0.000    0.006    0.006 case.py:1(<module>)
     3209    0.006    0.000    0.006    0.000 {built-in method builtins.hasattr}
      279    0.001    0.000    0.006    0.000 <frozen importlib._bootstrap_external>:93(_path_isfile)
      305    0.001    0.000    0.005    0.000 <frozen importlib._bootstrap_external>:84(_path_is_mode_type)
        1    0.000    0.000    0.005    0.005 pickle.py:24(<module>)
       34    0.001    0.000    0.005    0.000 sre_compile.py:536(_compile_info)
        1    0.000    0.000    0.005    0.005 signal.py:1(<module>)
        1    0.000    0.000    0.005    0.005 linalg.py:10(<module>)
        1    0.000    0.000    0.005    0.005 tokenize.py:21(<module>)
        1    0.000    0.000    0.005    0.005 npyio.py:1(<module>)
     2312    0.004    0.000    0.004    0.000 {built-in method builtins.getattr}
     5727    0.004    0.000    0.004    0.000 {built-in method builtins.isinstance}
        2    0.000    0.000    0.004    0.002 encoder.py:2(<module>)
        1    0.000    0.000    0.004    0.004 financial.py:12(<module>)
       53    0.001    0.000    0.004    0.000 typing.py:600(__init__)
      195    0.001    0.000    0.004    0.000 <frozen importlib._bootstrap_external>:1351(_get_spec)
        1    0.000    0.000    0.004    0.004 __init__.py:86(<module>)
